,Domain Code,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
0,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1961,1961,ha,7138919,A,"Aggregate, may include official, semi-official, estimated or calculated data"
8,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1963,1963,tonnes,20970320,A,"Aggregate, may include official, semi-official, estimated or calculated data"
9,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1964,1964,ha,7285822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
10,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1964,1964,hg/ha,31208,Fc,Calculated data
11,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1964,1964,tonnes,22737326,A,"Aggregate, may include official, semi-official, estimated or calculated data"
12,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1965,1965,ha,7229500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
13,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1965,1965,hg/ha,28522,Fc,Calculated data
14,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1965,1965,tonnes,20620142,A,"Aggregate, may include official, semi-official, estimated or calculated data"
15,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1966,1966,ha,7207233,A,"Aggregate, may include official, semi-official, estimated or calculated data"
16,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1966,1966,hg/ha,28780,Fc,Calculated data
17,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1966,1966,tonnes,20742474,A,"Aggregate, may include official, semi-official, estimated or calculated data"
18,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1967,1967,ha,7286316,A,"Aggregate, may include official, semi-official, estimated or calculated data"
19,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1967,1967,hg/ha,34833,Fc,Calculated data
20,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1967,1967,tonnes,25380099,A,"Aggregate, may include official, semi-official, estimated or calculated data"
21,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1968,1968,ha,7431223,A,"Aggregate, may include official, semi-official, estimated or calculated data"
22,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1968,1968,hg/ha,36196,Fc,Calculated data
23,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1968,1968,tonnes,26898318,A,"Aggregate, may include official, semi-official, estimated or calculated data"
24,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1969,1969,ha,7499085,A,"Aggregate, may include official, semi-official, estimated or calculated data"
25,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1969,1969,hg/ha,34475,Fc,Calculated data
26,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1969,1969,tonnes,25853039,A,"Aggregate, may include official, semi-official, estimated or calculated data"
27,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1970,1970,ha,7470600,A,"Aggregate, may include official, semi-official, estimated or calculated data"
28,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1970,1970,hg/ha,31796,Fc,Calculated data
29,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1970,1970,tonnes,23753864,A,"Aggregate, may include official, semi-official, estimated or calculated data"
30,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1971,1971,ha,7571500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
31,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1971,1971,hg/ha,37886,Fc,Calculated data
32,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1971,1971,tonnes,28685065,A,"Aggregate, may include official, semi-official, estimated or calculated data"
33,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1972,1972,ha,7633527,A,"Aggregate, may include official, semi-official, estimated or calculated data"
34,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1972,1972,hg/ha,37702,Fc,Calculated data
35,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1972,1972,tonnes,28780064,A,"Aggregate, may include official, semi-official, estimated or calculated data"
36,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1973,1973,ha,7662538,A,"Aggregate, may include official, semi-official, estimated or calculated data"
37,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1973,1973,hg/ha,38734,Fc,Calculated data
38,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1973,1973,tonnes,29680306,A,"Aggregate, may include official, semi-official, estimated or calculated data"
39,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1974,1974,ha,7743113,A,"Aggregate, may include official, semi-official, estimated or calculated data"
40,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1974,1974,hg/ha,41788,Fc,Calculated data
41,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1974,1974,tonnes,32357236,A,"Aggregate, may include official, semi-official, estimated or calculated data"
42,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1975,1975,ha,7805553,A,"Aggregate, may include official, semi-official, estimated or calculated data"
43,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1975,1975,hg/ha,38644,Fc,Calculated data
44,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1975,1975,tonnes,30164053,A,"Aggregate, may include official, semi-official, estimated or calculated data"
45,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1976,1976,ha,7816354,A,"Aggregate, may include official, semi-official, estimated or calculated data"
46,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1976,1976,hg/ha,34957,Fc,Calculated data
47,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1976,1976,tonnes,27323692,A,"Aggregate, may include official, semi-official, estimated or calculated data"
48,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1977,1977,ha,7800601,A,"Aggregate, may include official, semi-official, estimated or calculated data"
49,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1977,1977,hg/ha,38852,Fc,Calculated data
50,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1977,1977,tonnes,30306879,A,"Aggregate, may include official, semi-official, estimated or calculated data"
51,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1978,1978,ha,7878846,A,"Aggregate, may include official, semi-official, estimated or calculated data"
52,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1978,1978,hg/ha,42852,Fc,Calculated data
53,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1978,1978,tonnes,33762346,A,"Aggregate, may include official, semi-official, estimated or calculated data"
54,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1979,1979,ha,7723359,A,"Aggregate, may include official, semi-official, estimated or calculated data"
55,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1979,1979,hg/ha,41083,Fc,Calculated data
56,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1979,1979,tonnes,31729504,A,"Aggregate, may include official, semi-official, estimated or calculated data"
57,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1980,1980,ha,7737979,A,"Aggregate, may include official, semi-official, estimated or calculated data"
58,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1980,1980,hg/ha,42276,Fc,Calculated data
59,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1980,1980,tonnes,32712941,A,"Aggregate, may include official, semi-official, estimated or calculated data"
60,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1981,1981,ha,7614540,A,"Aggregate, may include official, semi-official, estimated or calculated data"
61,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1981,1981,hg/ha,41616,Fc,Calculated data
62,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1981,1981,tonnes,31688884,A,"Aggregate, may include official, semi-official, estimated or calculated data"
63,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1982,1982,ha,7583943,A,"Aggregate, may include official, semi-official, estimated or calculated data"
64,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1982,1982,hg/ha,45683,Fc,Calculated data
65,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1982,1982,tonnes,34645710,A,"Aggregate, may include official, semi-official, estimated or calculated data"
66,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1983,1983,ha,7582053,A,"Aggregate, may include official, semi-official, estimated or calculated data"
67,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1983,1983,hg/ha,43626,Fc,Calculated data
68,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1983,1983,tonnes,33077787,A,"Aggregate, may include official, semi-official, estimated or calculated data"
69,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1984,1984,ha,7512692,A,"Aggregate, may include official, semi-official, estimated or calculated data"
70,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1984,1984,hg/ha,50366,Fc,Calculated data
71,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1984,1984,tonnes,37838589,A,"Aggregate, may include official, semi-official, estimated or calculated data"
72,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1985,1985,ha,7403403,A,"Aggregate, may include official, semi-official, estimated or calculated data"
73,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1985,1985,hg/ha,50727,Fc,Calculated data
74,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1985,1985,tonnes,37555294,A,"Aggregate, may include official, semi-official, estimated or calculated data"
75,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1986,1986,ha,7327154,A,"Aggregate, may include official, semi-official, estimated or calculated data"
76,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1986,1986,hg/ha,50848,Fc,Calculated data
77,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1986,1986,tonnes,37257105,A,"Aggregate, may include official, semi-official, estimated or calculated data"
78,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1987,1987,ha,7157693,A,"Aggregate, may include official, semi-official, estimated or calculated data"
79,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1987,1987,hg/ha,48984,Fc,Calculated data
80,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1987,1987,tonnes,35061112,A,"Aggregate, may include official, semi-official, estimated or calculated data"
81,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1988,1988,ha,7138343,A,"Aggregate, may include official, semi-official, estimated or calculated data"
82,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1988,1988,hg/ha,51737,Fc,Calculated data
83,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1988,1988,tonnes,36931897,A,"Aggregate, may include official, semi-official, estimated or calculated data"
84,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1989,1989,ha,7087608,A,"Aggregate, may include official, semi-official, estimated or calculated data"
85,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1989,1989,hg/ha,52036,Fc,Calculated data
86,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1989,1989,tonnes,36881160,A,"Aggregate, may include official, semi-official, estimated or calculated data"
87,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1990,1990,ha,6944862,A,"Aggregate, may include official, semi-official, estimated or calculated data"
88,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1990,1990,hg/ha,54111,Fc,Calculated data
89,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1990,1990,tonnes,37579589,A,"Aggregate, may include official, semi-official, estimated or calculated data"
90,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1991,1991,ha,6559828,A,"Aggregate, may include official, semi-official, estimated or calculated data"
91,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1991,1991,hg/ha,59861,Fc,Calculated data
92,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1991,1991,tonnes,39267858,A,"Aggregate, may include official, semi-official, estimated or calculated data"
93,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1992,1992,ha,6514452,A,"Aggregate, may include official, semi-official, estimated or calculated data"
94,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1992,1992,hg/ha,53356,Fc,Calculated data
95,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1992,1992,tonnes,34758462,A,"Aggregate, may include official, semi-official, estimated or calculated data"
96,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1993,1993,ha,6223589,A,"Aggregate, may include official, semi-official, estimated or calculated data"
97,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1993,1993,hg/ha,57117,Fc,Calculated data
98,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1993,1993,tonnes,35547425,A,"Aggregate, may include official, semi-official, estimated or calculated data"
99,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1994,1994,ha,6235406,A,"Aggregate, may include official, semi-official, estimated or calculated data"
100,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1994,1994,hg/ha,58262,Fc,Calculated data
101,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1994,1994,tonnes,36328713,A,"Aggregate, may include official, semi-official, estimated or calculated data"
102,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1995,1995,ha,6526733,A,"Aggregate, may include official, semi-official, estimated or calculated data"
103,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1995,1995,hg/ha,61078,Fc,Calculated data
104,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1995,1995,tonnes,39863871,A,"Aggregate, may include official, semi-official, estimated or calculated data"
105,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1996,1996,ha,6707371,A,"Aggregate, may include official, semi-official, estimated or calculated data"
106,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1996,1996,hg/ha,62820,Fc,Calculated data
107,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1996,1996,tonnes,42135618,A,"Aggregate, may include official, semi-official, estimated or calculated data"
108,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1997,1997,ha,7014075,A,"Aggregate, may include official, semi-official, estimated or calculated data"
109,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1997,1997,hg/ha,64849,Fc,Calculated data
110,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1997,1997,tonnes,45485681,A,"Aggregate, may include official, semi-official, estimated or calculated data"
111,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1998,1998,ha,7041633,A,"Aggregate, may include official, semi-official, estimated or calculated data"
112,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1998,1998,hg/ha,63302,Fc,Calculated data
113,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1998,1998,tonnes,44574851,A,"Aggregate, may include official, semi-official, estimated or calculated data"
114,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1999,1999,ha,6634681,A,"Aggregate, may include official, semi-official, estimated or calculated data"
115,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1999,1999,hg/ha,66999,Fc,Calculated data
116,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1999,1999,tonnes,44452029,A,"Aggregate, may include official, semi-official, estimated or calculated data"
117,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2000,2000,ha,7015690,A,"Aggregate, may include official, semi-official, estimated or calculated data"
118,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2000,2000,hg/ha,64529,Fc,Calculated data
119,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2000,2000,tonnes,45271234,A,"Aggregate, may include official, semi-official, estimated or calculated data"
120,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2001,2001,ha,7045736,A,"Aggregate, may include official, semi-official, estimated or calculated data"
121,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2001,2001,hg/ha,70552,Fc,Calculated data
122,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2001,2001,tonnes,49709326,A,"Aggregate, may include official, semi-official, estimated or calculated data"
123,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2002,2002,ha,6940982,A,"Aggregate, may include official, semi-official, estimated or calculated data"
124,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2002,2002,hg/ha,62515,Fc,Calculated data
125,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2002,2002,tonnes,43391325,A,"Aggregate, may include official, semi-official, estimated or calculated data"
126,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2003,2003,ha,6839431,A,"Aggregate, may include official, semi-official, estimated or calculated data"
127,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2003,2003,hg/ha,57645,Fc,Calculated data
128,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2003,2003,tonnes,39426039,A,"Aggregate, may include official, semi-official, estimated or calculated data"
129,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2004,2004,ha,6946946,A,"Aggregate, may include official, semi-official, estimated or calculated data"
130,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2004,2004,hg/ha,73553,Fc,Calculated data
131,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2004,2004,tonnes,51097000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
132,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2005,2005,ha,6839000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
133,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2005,2005,hg/ha,67232,Fc,Calculated data
134,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2005,2005,tonnes,45980200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
135,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2006,2006,ha,6702200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
136,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2006,2006,hg/ha,64866,Fc,Calculated data
137,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2006,2006,tonnes,43474800,A,"Aggregate, may include official, semi-official, estimated or calculated data"
138,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2007,2007,ha,6571690,A,"Aggregate, may include official, semi-official, estimated or calculated data"
139,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2007,2007,hg/ha,61829,Fc,Calculated data
140,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2007,2007,tonnes,40632149,A,"Aggregate, may include official, semi-official, estimated or calculated data"
141,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2008,2008,ha,7038419,A,"Aggregate, may include official, semi-official, estimated or calculated data"
142,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2008,2008,hg/ha,71188,Fc,Calculated data
143,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2008,2008,tonnes,50104858,A,"Aggregate, may include official, semi-official, estimated or calculated data"
144,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2009,2009,ha,6908443,A,"Aggregate, may include official, semi-official, estimated or calculated data"
145,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2009,2009,hg/ha,72014,Fc,Calculated data
146,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2009,2009,tonnes,49750199,A,"Aggregate, may include official, semi-official, estimated or calculated data"
147,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2010,2010,ha,6587482,A,"Aggregate, may include official, semi-official, estimated or calculated data"
148,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2010,2010,hg/ha,66852,Fc,Calculated data
149,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2010,2010,tonnes,44038739,A,"Aggregate, may include official, semi-official, estimated or calculated data"
150,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2011,2011,ha,6490900,A,"Aggregate, may include official, semi-official, estimated or calculated data"
151,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2011,2011,hg/ha,64583,Fc,Calculated data
152,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2011,2011,tonnes,41920400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
153,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2012,2012,ha,6517900,A,"Aggregate, may include official, semi-official, estimated or calculated data"
154,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2012,2012,hg/ha,69649,Fc,Calculated data
155,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2012,2012,tonnes,45396500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
156,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2013,2013,ha,6526000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
157,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2013,2013,hg/ha,73180,Fc,Calculated data
158,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2013,2013,tonnes,47757100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
159,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2014,2014,ha,6460700,A,"Aggregate, may include official, semi-official, estimated or calculated data"
160,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2014,2014,hg/ha,80503,Fc,Calculated data
161,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2014,2014,tonnes,52010400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
162,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2015,2015,ha,6517500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
163,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2015,2015,hg/ha,74978,Fc,Calculated data
164,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2015,2015,tonnes,48866800,A,"Aggregate, may include official, semi-official, estimated or calculated data"
165,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2016,2016,ha,6316300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
166,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2016,2016,hg/ha,71821,Fc,Calculated data
167,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2016,2016,tonnes,45364400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
168,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2017,2017,ha,6266500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
169,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2017,2017,hg/ha,72699,Fc,Calculated data
170,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2017,2017,tonnes,45556800,A,"Aggregate, may include official, semi-official, estimated or calculated data"
171,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2018,2018,ha,6141600,A,"Aggregate, may include official, semi-official, estimated or calculated data"
172,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2018,2018,hg/ha,61789,Fc,Calculated data
173,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2018,2018,tonnes,37948100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
174,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2019,2019,ha,6372600,A,"Aggregate, may include official, semi-official, estimated or calculated data"
175,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2019,2019,hg/ha,69520,Fc,Calculated data
176,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2019,2019,tonnes,44302400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
177,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",2020,2020,ha,6065200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
178,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",2020,2020,hg/ha,71333,Fc,Calculated data
179,QCL,79,Germany,5510,Production,1717,"Cereals, Total",2020,2020,tonnes,43265100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
